name                                                       , wins, total, proportion         , score errors, winner errors, event errors, country errors
general                                                    , 8306, 10572,                    ,           74,             3,            9,              1
LUNATECS                                                   ,   15,    17, 0.8823529411764706 ,            0,             0,            0
Code Orange                                                ,   48,    50, 0.96               ,            0,             0,            0
Strike Zone                                                ,   46,    56, 0.8214285714285714 ,            0,             0,            0
Mechanical Advantage                                       ,   30,    35, 0.8571428571428571 ,            1,             0,            0
Rebels                                                     ,   36,    49, 0.7346938775510204 ,            0,             0,            0
Kingsmen Robotics                                          ,   24,    26, 0.9230769230769231 ,            0,             0,            0
W.A.F.F.L.E.S.                                             ,   47,    53, 0.8867924528301887 ,            0,             0,            0
Under Control                                              ,   26,    29, 0.896551724137931  ,            0,             0,            0
Denham Venom                                               ,   12,    13, 0.9230769230769231 ,            0,             0,            0
PAIR OF DICE ROBOTICS                                      ,   12,    15, 0.8                ,            0,             0,            0
S.P.A.M.                                                   ,   29,    30, 0.9666666666666667 ,            0,             0,            0
Inverse Paradox                                            ,   52,    68, 0.7647058823529411 ,            0,             0,            0
ITKAN Girls                                                ,   56,    67, 0.835820895522388  ,            0,             0,            0
Valor                                                      ,   61,    73, 0.8356164383561644 ,            2,             1,            0
BREAD                                                      ,   40,    50, 0.8                ,            0,             0,            0
CyberCavs                                                  ,   43,    53, 0.8113207547169812 ,            0,             0,            0
Team SCREAM                                                ,   16,    16, 1.0                ,            0,             0,            0
Nashoba Robotics                                           ,   44,    57, 0.7719298245614035 ,            0,             0,            0
Ratchet Rockers                                            ,   15,    15, 1.0                ,            0,             0,            0
Jack in the Bot                                            ,   43,    54, 0.7962962962962963 ,            0,             0,            0
Blazing Bulldogs                                           ,   46,    50, 0.92               ,            0,             0,            0
Chaos Theory                                               ,   14,    17, 0.8235294117647058 ,            0,             0,            0
The Highlanders                                            ,   26,    33, 0.7878787878787878 ,            0,             0,            0
North Gwinnett Robotics                                    ,   47,    51, 0.9215686274509803 ,            0,             0,            0
Team Tators                                                ,   17,    17, 1.0                ,            0,             0,            0
ZooBOTix                                                   ,   61,    71, 0.8591549295774648 ,            0,             0,            0
Wayland Wildcats                                           ,   43,    54, 0.7962962962962963 ,            1,             0,            0
The Beak Squad                                             ,    9,    15, 0.6                ,            0,             0,            0
CyberKnights                                               ,    0,     0, 0                  ,            0,             0,            0
HAMMERHEADS                                                ,   29,    36, 0.8055555555555556 ,            0,             0,            0
Stryke Force                                               ,   45,    55, 0.8181818181818182 ,            0,             0,            0
Newaygo County GEARS                                       ,   35,    49, 0.7142857142857143 ,            1,             0,            0
Team Lance-A-Bot                                           ,   60,    68, 0.8823529411764706 ,            0,             0,            0
Ranger Robotics                                            ,   22,    28, 0.7857142857142857 ,            0,             0,            0
Quixilver                                                  ,   42,    49, 0.8571428571428571 ,            0,             0,            0
THEORY6                                                    ,   39,    54, 0.7222222222222222 ,            1,             0,            0
Gear Gremlins                                              ,   39,    48, 0.8125             ,            0,             0,            0
Cyber Unicorn                                              ,   10,    12, 0.8333333333333334 ,            0,             0,            0
Bison Robotics                                             ,   26,    33, 0.7878787878787878 ,            1,             0,            0
PrepaTec - Botbusters                                      ,   15,    16, 0.9375             ,            0,             0,            0
Sultans of Turkiye                                         ,   23,    29, 0.7931034482758621 ,            1,             0,            0
Red Rock Robotics                                          ,   12,    16, 0.75               ,            1,             0,            0
Morpheus                                                   ,    3,     3, 1.0                ,            0,             0,            0
Robonauts                                                  ,   95,   118, 0.8050847457627118 ,            0,             0,            0
The Holy Cows                                              ,   43,    50, 0.86               ,            1,             0,            0
Team MineKee                                               ,   40,    49, 0.8163265306122449 ,            0,             0,            0
Crescent Coyotes                                           ,   34,    51, 0.6666666666666666 ,            0,             0,            0
Ctrl C                                                     ,   25,    35, 0.7142857142857143 ,            0,             0,            0
Apple Pi                                                   ,   15,    17, 0.8823529411764706 ,            0,             0,            0
Crusaders                                                  ,   16,    18, 0.8888888888888888 ,            0,             0,            0
suPURDUEper Robotics                                       ,   57,    69, 0.8260869565217391 ,            0,             0,            0
R.A.I.D. (Raider Artificial Intelligence Division)         ,   37,    47, 0.7872340425531915 ,            0,             0,            0
The Blair Robot Project                                    ,   11,    16, 0.6875             ,            0,             0,            0
The Oxford RoboCats                                        ,   46,    54, 0.8518518518518519 ,            1,             0,            0
Alectrona                                                  ,   43,    57, 0.7543859649122807 ,            0,             0,            0
The Chargers                                               ,   28,    34, 0.8235294117647058 ,            0,             0,            0
The BioMechs                                               ,   37,    47, 0.7872340425531915 ,            0,             0,            0
Peddie Robotics                                            ,   30,    33, 0.9090909090909091 ,            0,             0,            0
Peninsula Robotics                                         ,   42,    53, 0.7924528301886793 ,            0,             0,            0
Raider Robotics                                            ,   41,    50, 0.82               ,            0,             0,            0
PrepaTec - VOLTEC                                          ,   14,    16, 0.875              ,            0,             0,            0
Royal Turtles                                              ,    7,     9, 0.7777777777777778 ,            0,             0,            0
Greybots                                                   ,   44,    52, 0.8461538461538461 ,            1,             0,            0
The Robodox                                                ,   38,    47, 0.8085106382978723 ,            0,             0,            0
Paraducks                                                  ,    0,     0, 0                  ,            0,             0,            1
The Junkyard Dogs                                          ,   37,    50, 0.74               ,            0,             0,            0
Flaming Chickens                                           ,   41,    52, 0.7884615384615384 ,            0,             0,            0
Cerbotics - Peñoles                                        ,   13,    17, 0.7647058823529411 ,            0,             0,            0
B.E.R.T.                                                   ,    0,     0, 0                  ,            0,             0,            0
Wired Boars                                                ,   15,    18, 0.8333333333333334 ,            0,             0,            0
LigerBots                                                  ,   38,    51, 0.7450980392156863 ,            0,             0,            0
Hackbots                                                   ,   45,    53, 0.8490566037735849 ,            0,             0,            0
Future Martians                                            ,   42,    49, 0.8571428571428571 ,            0,             0,            0
Symmetrical Chaos                                          ,   42,    51, 0.8235294117647058 ,            0,             0,            0
Byting Bulldogs                                            ,   35,    48, 0.7291666666666666 ,            1,             0,            0
